Name,Sale Price,Category,URL,Author,ISBN10,Pages,Publisher,Language,Dimensions,Rating
"NEIGHBOR, THE",$5.49,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 11269 >  > in > Books > # > 105 >  > in > Books > Mystery & Suspense > # > 9 >  > in > Books > Mystery & Suspense > General",http://www.walmart.com/ip/13009129,"GARDNER, LISA",3591901,496,Random House,English,7.00 x 4.25 x 1.25 Inches,5
When the Grits Hit the Fan,$7.19,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General",http://www.walmart.com/ip/55216109,"Day, Maddie",7739299,343,Kensington Pub Corp,English,7.00 x 4.25 x 1.00 Inches,
A Gathering of Secrets,$26.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",http://www.walmart.com/ip/359151701,Linda Castillo,1250121310,320,St. Martin's PressMinotaur Books,English,,
WILLIAM SHAKESPEARE'S THE JEDI DOTH RETURN,$12.27,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General > Best seller ranking: > # > 10412 >  > in > Books > # > 978 >  > in > Books > Literature & Fiction > # > 63 >  > in > Books > Literature & Fiction > Science Fiction,http://www.walmart.com/ip/27818149,"DOESCHER, IAN",159474713X,168,Random House Inc,English,5.75 x 8.25 x 0.50 Inches,5
Children of the Fleet,$20.49,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military,http://www.walmart.com/ip/55746755,Orson Scott Card,0765377047,304,Tom Doherty AssociatesTor Books,English,9.25 x 155.57 x 1.14 Inches (US),
A Game of Thrones,$22.71,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 1596 >  > in > Books > # > 104 >  > in > Books > Literature & Fiction > # > 14 >  > in > Books > Literature & Fiction > Fantasy,http://www.walmart.com/ip/1736337,"Martin, George R. R.",3103540,694,Random House Inc,English,9.75 x 6.50 x 1.75 Inches,5
Neverwinter,$7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,http://www.walmart.com/ip/17799331,"Salvatore, R. A.",6960276,363,Wizards of the Coast,English,6.75 x 4.00 x 1.25 Inches,
The Good Woman,$8.98,Books > Literature & Fiction > Fiction > Contemporary Women,http://www.walmart.com/ip/19895283,Jane Porter,5253003,368,BerkleyPenguin Publishing Group,English,,4.5556
ALL THE MISSING GIRLS: ANOVEL,$4.49,Books > Literature & Fiction > Fiction > Contemporary Women,http://www.walmart.com/ip/55060641,Megan Miranda,1107978,400,Simon &amp; Schuster,,8.38 x 139.70 x 22.86 Inches (US),
Acheron,$7.08,Books > Literature & Fiction > Fiction > Romance > Fantasy > Best seller ranking: > # > 8506 >  > in > Books > # > 162 >  > in > Books > Romance > # > 30 >  > in > Books > Romance > Paranormal,http://www.walmart.com/ip/10336500,Sherrilyn Kenyon,2949416,816,St. Martin's PressSt. Martin's Paperbacks,English,171.96 x 4.16 x 1.28 Millimeters,4.9167
I Know a Secret: A Rizzoli & Isles Novel,$13.97,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",http://www.walmart.com/ip/55699363,Tess Gerritsen,0345543882,336,Ballantine Books,English,10.00 x 7.00 x 1.00 Inches,5
BEST KEPT SECRETS,$7.99,Books > Literature & Fiction > Fiction > Romance > Suspense > Best seller ranking: > # > 3817 >  > in > Books > # > 292 >  > in > Books > Literature & Fiction > # > 39 >  > in > Books > Literature & Fiction > Mystery & Suspense,http://www.walmart.com/ip/26885406,Sandra Brown,5550741,448,Grand Central Publishing,English,6.75 x 4.25 x 1.25 Inches (US),
"Zombie, Illinois",$16.30,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,http://www.walmart.com/ip/20662362,"Kenemore, Scott",1616088850,381,Two Rivers Distribution,English,8.25 x 5.50 x 1.25 Inches,
SHARP OBJECTS,$9.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 1075 >  > in > Books > # > 67 >  > in > Books > Literature & Fiction > # > 7 >  > in > Books > Literature & Fiction > Mystery & Suspense",http://www.walmart.com/ip/5422604,"FLYNN, GILLIAN",7341557,272,Random House Inc,English,8.25 x 5.25 x 0.75 Inches,4.6667
