Name,Sale Price,Category,Author,Pages,Publisher,Language,Dimensions,Rating
Mercy Falls,$13.17 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",William Kent Krueger,368,Atria Books,English,8.25 x 5.31 x 22.86 Inches (US),
The Big Sky: A Novel,$11.02 ,Books > Literature & Fiction > Fiction > Westerns,"Guthrie, A. B.",386,Houghton Mifflin Harcourt,English,5.50 x 8.00 x 1.00 Inches,
Cat Sitter on a Hot Tin Roof,$19.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths","Clement, Blaize",306,St. Martins Press-3pl,English,5.00 x 0.69 x 7.99 Inches,
"NEIGHBOR, THE",$5.49 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 11269 >  > in > Books > # > 105 >  > in > Books > Mystery & Suspense > # > 9 >  > in > Books > Mystery & Suspense > General","GARDNER, LISA",496,Random House,English,7.00 x 4.25 x 1.25 Inches,5
When the Grits Hit the Fan,$7.19 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Day, Maddie",343,Kensington Pub Corp,English,7.00 x 4.25 x 1.00 Inches,
A Gathering of Secrets,$26.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",Linda Castillo,320,St. Martin's PressMinotaur Books,English,,
WILLIAM SHAKESPEARE'S THE JEDI DOTH RETURN,$12.27 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General > Best seller ranking: > # > 10412 >  > in > Books > # > 978 >  > in > Books > Literature & Fiction > # > 63 >  > in > Books > Literature & Fiction > Science Fiction,"DOESCHER, IAN",168,Random House Inc,English,5.75 x 8.25 x 0.50 Inches,5
Children of the Fleet,$20.49 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military,Orson Scott Card,304,Tom Doherty AssociatesTor Books,English,9.25 x 155.57 x 1.14 Inches (US),
A Game of Thrones,$22.71 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 1596 >  > in > Books > # > 104 >  > in > Books > Literature & Fiction > # > 14 >  > in > Books > Literature & Fiction > Fantasy,"Martin, George R. R.",694,Random House Inc,English,9.75 x 6.50 x 1.75 Inches,5
Neverwinter,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Salvatore, R. A.",363,Wizards of the Coast,English,6.75 x 4.00 x 1.25 Inches,
The Good Woman,$8.98 ,Books > Literature & Fiction > Fiction > Contemporary Women,Jane Porter,368,BerkleyPenguin Publishing Group,English,,4.5556
ALL THE MISSING GIRLS: ANOVEL,$4.49 ,Books > Literature & Fiction > Fiction > Contemporary Women,Megan Miranda,400,Simon &amp; Schuster,,8.38 x 139.70 x 22.86 Inches (US),
Acheron,$7.08 ,Books > Literature & Fiction > Fiction > Romance > Fantasy > Best seller ranking: > # > 8506 >  > in > Books > # > 162 >  > in > Books > Romance > # > 30 >  > in > Books > Romance > Paranormal,Sherrilyn Kenyon,816,St. Martin's PressSt. Martin's Paperbacks,English,171.96 x 4.16 x 1.28 Millimeters,4.9167
